#x_m,y_m,w_tr_right_m,w_tr_left_m
-68.44243815574725,102.83541011479524,2,2
-68.46544268720115,103.34729027741834,2,2
-68.48770695894176,103.85972147935668,2,2
-68.50936290552073,104.37269251721065,2,2
-68.5304013289872,104.88619974531161,2,2
-68.5507796296848,105.40024125184574,2,2
-68.57045499723435,105.91481506559873,2,2
-68.58938441381095,106.42991915567974,2,2
-68.60751519363541,106.94554993285004,2,2
-68.6247213435663,107.46169215657842,2,2
-68.64074718503446,107.97830990262312,2,2
-68.65530802453313,108.49536242509134,2,2
-68.66811846347953,109.01280862648676,2,2
-68.67889263127462,109.5306070924228,2,2
-68.68734902276694,110.04871528257564,2,2
-68.69323212136612,110.56708562506428,2,2
-68.69631559273074,111.08566499005899,2,2
-68.69637896223736,111.60439902474508,2,2
-68.69320221625209,112.1232332083206,2,2
-68.68656594654492,112.64211288887833,2,2
-68.67626107210663,113.1609873943124,2,2
-68.6621250408959,113.6798256433008,2,2
-68.64402660479317,114.19861000441563,2,2
-68.62183844633853,114.71732481065422,2,2
-68.5954323674344,115.23595432769321,2,2
-68.56467923254648,115.75448274499031,2,2
-68.52948267976693,116.27289774142741,2,2
-68.48989301769402,116.79120256366691,2,2
-68.44600140378702,117.30940629239713,2,2
-68.39780190552695,117.82751653873162,2,2
-68.3455465309665,118.34554645219632,2,2
-68.28934599484919,118.86350545169782,2,2
-68.22931764976109,119.38139758852954,2,2
-68.16559602371512,119.89921402146936,2,2
-68.09832028943485,120.41694293727812,2,2
-68.02763039900606,120.93457245716745,2,2
-67.95366706472504,121.45209063875899,2,2
-67.87657069513172,121.96948400770151,2,2
-67.79647598680077,122.48672968824519,2,2
-67.71351015834423,123.00379252036082,2,2
-67.62780002142361,123.52063484054725,2,2
-67.53947358950899,124.03721893357944,2,2
-67.4486599804621,124.55350706452172,2,2
-67.3554926358837,125.06946498621957,2,2
-67.26012237936776,125.58507574539198,2,2
-67.16271252247297,126.10033484172135,2,2
-67.06342864368924,126.61523966722123,2,2
